titles,year,category
Disambiguating Music Artists at Scale with Audio Metric Learning,2018,Other
Driftin' Down the Scale: Dynamic Time Warping in the Presence of Pitch Drift and Transpositions,2018,Other
End-to-end Learning for Music Audio Tagging at Scale,2018,Other
Audio Based Disambiguation of Music Genre Tags,2018,Similarity
Learning Domain-Adaptive Latent Representations of Music Signals Using Variational Autoencoders,2018,Other
Learning Interval Representations from Polyphonic Music Sequences,2018,Similarity
Influences on the Social Practices Surrounding Commercial Music Services: A Model for Rich Interactions,2018,Other
Investigating Cross-Country Relationship between Users' Social Ties and Music Mainstreaminess,2018,Other
Listener Anonymizer: Camouflaging Play Logs to Preserve User's Demographic Anonymity,2018,Other
On the Impact of Music on Decision Making in Cooperative Tasks,2018,Other
VenueRank: Identifying Venues that Contribute to Artist Popularity,2018,Other
The Many Faces of Users: Modeling Musical Preference,2018,Other
Representation Learning of Music Using Artist Labels,2018,Other
StructureNet: Inducing Structure in Generated Melodies,2018,Other
Summarizing and Comparing Music Data and Its Application on Cover Song Identification,2018,Other
Transferring the Style of Homophonic Music Using Recurrent Neural Networks and Autoregressive Model,2018,Similarity
MIDI-VAE: Modeling Dynamics and Instrumentation of Music with Applications to Style Transfer,2018,Similarity
Understanding a Deep Machine Listening Model Through Feature Inversion,2018,Other
Comparing RNN Parameters for Melodic Similarity,2018,Similarity
Visualization of Audio Data Using Stacked Graphs,2018,Other
Two Web Applications for Exploring Melodic Patterns in Jazz Solos,2018,Other
"Learning to Listen, Read, and Follow: Score Following as a Reinforcement Learning Game",2018,Transcription and annotations
Matrix Co-Factorization for Cold-Start Recommendation,2018,Recognition / Analysis /Classification
Influence in Early Electronic Dance Music: An Audio Content Analysis Investigation.,2012,Recognition / Analysis /Classification
Association Mining of Folk Music Genres and Toponyms.,2012,Other
Characterization of Embellishments in Ney Performances of Makam Music in Turkey.,2012,Other
Cross-cultural Music Mood Classification: A Comparison on English and Chinese Songs.,2012,Knowledge representation
Towards a (Better) Definition of the Description of Annotated MIR Corpora.,2012,Other
Modeling Musical Mood From Audio Features and Listening Context on an In-Situ Data Set.,2012,Recognition / Analysis /Classification
Analyzing Drum Patterns Using Conditional Deep Belief Networks.,2012,Other
N-gram Based Statistical Makam Detection on Makam Music in Turkey Using Symbolic Data.,2012,Transcription and annotations
Evaluating the Online Capabilities of Onset Detection Methods.,2012,Transcription and annotations
Structure-Based Audio Fingerprinting for Music Retrieval.,2012,Query (content-based)
Bridging Printed Music and Audio Through Alignment Using a Mid-level Score Representation.,2012,Transcription and annotations
Real-time Online Singing Voice Separation from Monaural Recordings Using Robust Low-rank Modeling.,2012,Transcription and annotations
Folksonomy-based Tag Recommendation for Online Audio Clip Sharing.,2012,Recognition / Analysis /Classification
Infinite Composite Autoregressive Models for Music Signal Analysis.,2012,Other
Professionally-produced Music Separation Guided by Covers.,2012,Transcription and annotations
Bayesian Nonnegative Harmonic-Temporal Factorization and Its Application to Multipitch Analysis.,2012,Other
A Scape Plot Representation for Visualizing Repetitive Structures of Music Recordings.,2012,Other
A Systematic Comparison of Music Similarity Adaptation Approaches.,2012,Similarity
Using Hyper-genre Training to Explore Genre Information for Automatic Chord Estimation.,2012,Similarity
Semi-supervised NMF with Time-frequency Annotations for Single-channel Source Separation.,2012,Transcription and annotations
Neon.js: Neume Editor Online.,2012,Other
Modeling Chord and Key Structure with Markov Logic.,2012,Other
A Geometric Language for Representing Structure in Polyphonic Music.,2012,Similarity
Unsupervised Learning of Local Features for Music Classification.,2012,Recognition / Analysis /Classification
Modeling Piano Interpretation Using Switching Kalman Filter.,2012,Other
Interpreting Rhythm in Optical Music Recognition.,2012,"Recognition / Analysis /Classification,Similarity"
Assigning a Confidence Threshold on Automatic Beat Annotation in Large Datasets.,2012,Transcription and annotations
A Corpus-based Study of Rhythm Patterns.,2012,Similarity
"One in the Jungle: Downbeat Detection in Hardcore, Jungle, and Drum and Bass.",2012,Transcription and annotations
A MIREX Meta-analysis of Hubness in Audio Music Similarity.,2012,Recognition / Analysis /Classification
How Significant is Statistically Significant? The case of Audio Music Similarity and Retrieval.,2012,Similarity
Statistical Characterisation of Melodic Pitch Contours and its Application for Melody Extraction.,2012,"Transcription and annotations,Similarity"
Detecting Melodic Motifs from Audio for Hindustani Classical Music.,2012,Other
Characterization of Intonation in Carnatic Music by Parametrizing Pitch Histograms.,2012,Other
Discriminative Non-negative Matrix Factorization for Multiple Pitch Estimation.,2012,Other
A Feature Relevance Study for Guitar Tone Classification.,2012,Other
String Methods for Folk Tune Genre Classification.,2012,Similarity
A Turkish Makam Music Symbolic Database for Music Information Retrieval: SymbTr.,2012,"Corpora and databases,Recognition / Analysis /Classification,Similarity"
Polyphonic Music Classification on Symbolic Data Using Dissimilarity Functions.,2012,"Knowledge representation,Similarity"
"Semiotic Structure Labeling of Music Pieces: Concepts, Methods and Annotation Conventions.",2012,Other
Large-Scale Cover Song Recognition Using the 2D Fourier Transform Magnitude.,2012,Recognition / Analysis /Classification
Creating Ground Truth for Audio Key Finding: When the Title Key May Not Be the Key.,2012,Other
Understanding User Requirements for Music Information Services.,2012,Other
The Impact of MIREX on Scholarly Research (2005 - 2010).,2012,Other
An Emotion Model for Music Using Brain Waves.,2012,Other
Music Structure Analysis by Ridge Regression of Beat-synchronous Audio Features.,2012,"Transcription and annotations,Recognition / Analysis /Classification"
Score-Informed Leading Voice Separation from Monaural Audio.,2012,Transcription and annotations
On Measuring Syncopation to Drive an Interactive Music System.,2012,Other
Current Challenges in the Evaluation of Predominant Melody Extraction Algorithms.,2012,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
Improving Audio Chord Transcription by Exploiting Harmonic and Metric Knowledge.,2012,Transcription and annotations
Reducing Tempo Octave Errors by Periodicity Vector Coding And SVM Learning.,2012,Transcription and annotations
Context-free 2D Tree Structure Model of Musical Notes for Bayesian Modeling of Polyphonic Spectrograms.,2012,Similarity
Compressing Music Recordings into Audio Summaries.,2012,Other
Second Fiddle is Important Too: Pitch Tracking Individual Voices in Polyphonic Music.,2012,Similarity
Feature Learning in Dynamic Environments: Modeling the Acoustic Structure of Musical Emotion.,2012,Other
User-centered Measures vs. System Effectiveness in Finding Similar Songs.,2012,Other
Towards Time-resilient MIR Processes.,2012,Other
Hypergraph Models of Playlist Dialects.,2012,Other
Learning to Embed Songs and Tags for Playlist Prediction.,2012,Other
Extracting Semantic Information from an Online Carnatic Music Forum.,2012,Other
Ranking Lyrics for Online Search.,2012,Transcription and annotations
The Role Of Music in the Lives of Homeless Young People: A Preliminary Report.,2012,Other
A Survey on Music Listening and Management Behaviours.,2012,Other
Automatic Music Transcription: Breaking the Glass Ceiling.,2012,Transcription and annotations
Putting the User in the Center of Music Information Retrieval.,2012,Other
The Impact (or Non-impact) of User Studies in Music Information Retrieval.,2012,Other
Mel Cepstrum &amp; Ann Ova: The Difficult Dialog Between MIR and Music Cognition.,2012,Other
Moving Beyond Feature Design: Deep Architectures and Automatic Feature Learning in Music Informatics.,2012,Human-computer interaction and interfaces
"Reuse, Remix, Repeat: the Workflows of MIR.",2012,Other
Multi-Template Shift-Variant Non-Negative Matrix Deconvolution for Semi-Automatic Music Transcription.,2012,Other
Tracking Melodic Patterns in Flamenco Singing by Analyzing Polyphonic Music Recordings.,2012,Similarity
A Cross-version Approach for Stabilizing Tempo-based Novelty Detection.,2012,Transcription and annotations
Fast Identification of Piece and Score Position via Symbolic Fingerprinting.,2012,Transcription and annotations
"A Multimedia Search and Navigation Prototype, Including Music and Video-clips.",2012,Other
Chord Recognition Using Duration-explicit Hidden Markov Models.,2012,Recognition / Analysis /Classification
Finding Repeating Stanzas in Folk Songs.,2012,Other
Detecting Episodes with Harmonic Sequences for Fugue Analysis.,2012,Other
Inferring Chord Sequence Meanings via Lyrics: Process and Evaluation.,2012,Transcription and annotations
Facilitating Comprehensive Benchmarking Experiments on the Million Song Dataset.,2012,Other
Decoding Tempo and Timing Variations in Music Recordings from Beat Annotations.,2012,Transcription and annotations
Unsupervised Chord-Sequence Generation from an Audio Example.,2012,Other
Listening Level Changes Music Similarity.,2012,Other
Pitch Content Visualization Tools for Music Performance Analysis.,2012,"Transcription and annotations,Systems issues"
A Multipitch Approach to Tonic Identification in Indian Classical Music.,2012,Other
Separating Presentation and Content in MEI.,2012,Other
A Study of Intonation in Three-Part Singing using the Automatic Music Performance Analysis and Comparison Toolkit (AMPACT).,2012,"Transcription and annotations,Recognition / Analysis /Classification,Systems issues"
Influence of Peak Selection Methods on Onset Detection.,2012,Transcription and annotations
Evaluation of Musical Features for Emotion Classification.,2012,Recognition / Analysis /Classification
BLAST for Audio Sequences Alignment: A Fast Scalable Cover Identification Tool.,2012,Other
A Cross-cultural Study of Music Mood Perception between American and Chinese Listeners.,2012,Other
Shortest Path Techniques for Annotation and Retrieval of Environmental Sounds.,2012,"Recognition / Analysis /Classification,Similarity"
Multivariate Autoregressive Mixture Models for Music Auto-Tagging.,2012,Other
Building Musically-relevant Audio Features through Multiple Timescale Representations.,2012,Recognition / Analysis /Classification
A Comparison of Sound Segregation Techniques for Predominant Instrument Recognition in Musical Audio Signals.,2012,Recognition / Analysis /Classification
Learning Sparse Feature Representations for Music Annotation and Retrieval.,2012,Other
Score Analyzer: Automatically Determining Scores Difficulty Level for Instrumental e-Learning.,2012,Transcription and annotations
Digital Document Image Retrieval Using Optical Music Recognition.,2012,"Recognition / Analysis /Classification,Similarity"
Music/Voice Separation Using the Similarity Matrix.,2012,"Transcription and annotations,Similarity"
Breathy or Resonant - A Controlled and Curated Dataset for Phonation Mode Detection in Singing.,2012,"Corpora and databases,Transcription and annotations"
Robust Singer Identification in Polyphonic Music using Melody Enhancement and Uncertainty-based Learning.,2012,"Transcription and annotations,Similarity"
Predominant Fundamental Frequency Estimation vs Singing Voice Separation for the Automatic Transcription of Accompanied Flamenco Singing.,2012,Transcription and annotations
